aabcgdmkeabbnleenpncegpcngjpnjkc | Easy Auto Refresh | 5.4 | Auto-refresh and auto-reload pages after any number of seconds.
"ffnbelfdoeiohenkjibnmadjiehjhajb | Yoroi | 4.22.0 | A simple, secure and fast Cardano ADA wallet."
"ghbmnnjooekpmoecnnnilnnbdlolhkhi | Google Docs Offline | 1.61.4 | edit, create, and view your documents, spreadsheets, and presentations — all without internet access."
hdokiejnpimakedhajhdlcegeplioahd | LastPass: Free Password Manager | 4.117.0.2 | __MSG_app_Desc__
hgccfdagfbilbdbkgmfdmmdfmjjoakfo | Internet Connection Monitor | 4.0.1 | Monitor and test Internet connectivity. Detect when Internet doesn't work over operating Wi-Fi or Ethernet
nkbihfbeogaeaoehlefnkodbefgpgknn | Metamask | 10.32.0 | an ethereum wallet in your browser
aapbdbdomjkkjkaonfhkkikfgjllcleb | Google Translate | 2.0.13 | view translations easily as you browse the web. by the google translate team.
"bhmmomiinigofkjcapegjjndpbikblnp | Wot: Website Security & Safety Checker | 5.1.0 | stay safe online with wot, the ultimate website security and safety check extension"
cdmlkjchffgfbckhillkhofhmnnnkoej | Multi-clock | 1.4.5 | __MSG_extensionDescription__
djeegiggegleadkkbgopoonhjimgehda | Headless Recorder | 1.1.0 | A Chrome extension for recording browser interaction and generating Puppeteer & Playwright scripts
fdpohaocaechififmbbbbbknoalclacl | GoFullPage - Full Page Screen Capture | 7.10 | __MSG_appDesc__
"ffnbelfdoeiohenkjibnmadjiehjhajb | Yoroi | 4.22.0 | A simple, secure and fast Cardano ADA wallet."
fmkadmapgofadopljbjfkapdkoienihi | React Developer Tools | 4.27.8 | Adds React debugging tools to the Chrome Developer Tools.Created from revision 2468a8735 on 5/19/2023.
"ghbmnnjooekpmoecnnnilnnbdlolhkhi | Google Docs Offline | 1.62.0 | edit, create, and view your documents, spreadsheets, and presentations — all without internet access."
gmegofmjomhknnokphhckolhcffdaihd | JSONView | 2.4.2 | __MSG_extensionDescription__
hdokiejnpimakedhajhdlcegeplioahd | LastPass: Free Password Manager | 4.117.0.2 | __MSG_app_Desc__
ibnejdfjmmkpcnlpebklmnkoeoihofec | TronLink | 4.0.3 | The first and most popular TRON wallet. Recommended by TRON Foundation.
"igeehkedfibbnhbfponhjjplpkeomghi | Tabli | 2.1.2 | A simple, powerful tab manager"
inlikjemeeknofckkjolnjbpehgadgge | Distill Web Monitor | 3.5.5 | monitor webpage or feed for changes. get sms and email alerts on change detection.
lpfcbjknijpeeillifnkikgncikgfhdo | Nami | 3.5.0 | A wallet to experience Cardano to the fullest
nkbihfbeogaeaoehlefnkodbefgpgknn | Metamask | 10.32.0 | an ethereum wallet in your browser
nngceckbapebfimnlniiiahkandclblb | Bitwarden - Free Password Manager | 2023.5.0 | a secure and free password manager for all of your devices.
ogeebjpdeabhncjpfhgdibjajcajepgg | Page Monitor | 3.4.6 | stays in the background and monitors web pages for changes.
aapbdbdomjkkjkaonfhkkikfgjllcleb | Google Translate | 2.0.13 | view translations easily as you browse the web. by the google translate team.
dhdgffkkebhmkfjojejmpbldmpobfkfo | Tampermonkey | 4.19.0 | change the web at will with userscripts
"iidnbdjijdkbmajdffnidomddglmieko | QuillBot: AI Grammar and Writing Tool | 3.11.3 | Improve Your Writing with QuillBot’s Grammar Checker, Paraphrasing Tool & Summarizer"
"dgbhmbogkcdheijkkdmfhodkamcaiheo | Magic Vpn - Best Free Vpn For Edge | 1.0.12 | free and secure proxy accelerator plug-in, protect your privacy and enjoy unrestricted internet services."
"fphgeikpdcdcheaochkhldmnfblfogla | NordVPN - VPN Proxy for Privacy and Security | 3.1.0 | One click, and you're connected to the fastest VPN out there — NordVPN. Stay safe online with our VPN proxy extension for Edge."
firefox@ghostery.com | Ghostery – Privacy Ad Blocker | 8.10.3 | https://addons.mozilla.org/firefox/downloads/file/4119594/ghostery-8.10.3.xpi
addon@darkreader.org | Dark Reader | 4.9.64 | https://addons.mozilla.org/firefox/downloads/file/4128489/darkreader-4.9.64.xpi
support@lastpass.com | LastPass Password Manager | 4.116.0.2 | https://addons.mozilla.org/firefox/downloads/file/4120971/lastpass_password_manager-4.116.0.2.xpi
{0b457cAA-602d-484a-8fe7-c1d894a011ba} | FireShot: Full Web Page Screenshots (♥♥♥♥♥) | 1.12.18 | https://addons.mozilla.org/firefox/downloads/file/4120150/fireshot-1.12.18.xpi
hnjalnkldgigidggphhmacmimbdlafdo | LastPass: Free Password Manager | 4.113.0.2 | __MSG_app_Desc__
mefgmmbdailogpfhfblcnnjfmnpnmdfa | Feedbro | 4.15.8 | Advanced Feed Reader - Read news & blogs or any RSS/Atom/RDF source.
